industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted
healthcare_non_clinical,US,200-499,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,55000.0,25,0,10,8,20.0,2,3,0.0,B,1
healthcare_non_clinical,UK,200-499,$200M+,vp_finance,individual_contributor,sdr_outbound,1,0,116303.0,0,18,8,3,20.0,,5,1.0,B,0
logistics,US,200-499,$200M+,ap_manager,vp,inbound_marketing,1,0,118679.0,27,0,13,6,20.0,3,4,1.0,B,0
professional_services,US,1000-1999,$10M-$50M,it_director,director,partner_referral,1,0,55000.0,0,17,9,1,20.0,1,6,1.0,C,1
logistics,US,1000-1999,$1M-$10M,vp_finance,manager,inbound_marketing,1,0,25000.0,20,0,8,8,20.0,5,3,1.0,B,1
manufacturing,UK,200-499,$10M-$50M,ap_manager,director,partner_referral,0,0,55000.0,0,26,16,3,20.0,7,3,2.0,B,0
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,vp,sdr_outbound,0,0,55000.0,0,15,5,3,19.0,6,0,0.0,B,0
professional_services,US,200-499,$1M-$10M,ap_manager,individual_contributor,sdr_outbound,0,0,25000.0,0,19,8,6,20.0,5,2,0.0,C,0
logistics,UK,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,1,1,55000.0,17,0,7,7,20.0,4,5,0.0,C,0
manufacturing,UK,200-499,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,1,1,55000.0,15,0,9,0,20.0,4,3,7.0,A,0
professional_services,UK,500-999,$50M-$200M,it_director,director,inbound_marketing,0,0,85000.0,0,0,0,0,,0,0,,A,0
manufacturing,UK,2000+,$1M-$10M,it_director,vp,inbound_marketing,0,0,25000.0,11,0,2,3,19.0,1,0,1.0,A,0
manufacturing,US,500-999,$1M-$10M,ap_manager,,inbound_marketing,1,1,25000.0,18,0,8,5,20.0,4,5,1.0,B,1
healthcare_non_clinical,UK,1000-1999,$50M-$200M,vp_finance,individual_contributor,sdr_outbound,1,0,85000.0,0,14,4,5,19.0,3,6,0.0,A,0
professional_services,US,2000+,$10M-$50M,vp_finance,manager,inbound_marketing,1,1,55000.0,22,0,16,2,19.0,3,7,0.0,B,0
logistics,US,500-999,$10M-$50M,it_director,manager,partner_referral,0,0,55000.0,0,18,4,6,20.0,7,0,0.0,B,0
professional_services,UK,1000-1999,$50M-$200M,vp_finance,director,partner_referral,1,0,85000.0,0,18,8,4,20.0,5,3,0.0,A,1
manufacturing,UK,200-499,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,1,1,55000.0,15,0,8,4,20.0,6,4,2.0,A,1
healthcare_non_clinical,US,200-499,$10M-$50M,vp_finance,individual_contributor,inbound_marketing,1,0,55000.0,22,0,10,8,20.0,3,3,1.0,B,0
logistics,UK,1000-1999,$50M-$200M,it_director,vp,inbound_marketing,1,0,85000.0,16,0,8,3,19.0,1,3,1.0,A,0
healthcare_non_clinical,UK,500-999,$1M-$10M,procurement_manager,manager,inbound_marketing,1,0,25000.0,26,0,13,8,19.0,5,0,2.0,A,0
manufacturing,US,500-999,$10M-$50M,it_director,director,inbound_marketing,1,0,,19,0,9,5,20.0,7,3,0.0,B,1
manufacturing,US,1000-1999,$50M-$200M,it_director,manager,inbound_marketing,1,0,85000.0,31,0,11,8,20.0,1,2,0.0,B,1
manufacturing,UK,500-999,$50M-$200M,procurement_manager,vp,inbound_marketing,1,0,85000.0,32,0,13,7,20.0,5,3,3.0,A,0
professional_services,UK,2000+,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,17,7,4,20.0,2,3,0.0,A,1
healthcare_non_clinical,UK,200-499,$1M-$10M,vp_finance,manager,inbound_marketing,1,1,19467.0,17,0,8,5,20.0,5,6,0.0,B,0
logistics,UK,200-499,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,85000.0,15,0,5,5,19.0,2,2,2.0,A,1
logistics,US,500-999,$10M-$50M,ap_manager,vp,sdr_outbound,0,0,55000.0,0,21,8,7,20.0,3,0,0.0,A,1
professional_services,US,200-499,$10M-$50M,procurement_manager,vp,inbound_marketing,1,1,55000.0,16,0,5,6,19.0,6,4,1.0,C,0
professional_services,UK,2000+,$1M-$10M,it_director,vp,partner_referral,0,0,25000.0,0,16,10,0,20.0,2,2,7.0,B,0
professional_services,US,1000-1999,$50M-$200M,it_director,director,partner_referral,0,0,85000.0,0,0,0,0,,0,0,,B,0
manufacturing,UK,1000-1999,$10M-$50M,vp_finance,director,inbound_marketing,1,0,63002.0,14,0,6,3,20.0,1,3,0.0,C,0
manufacturing,US,500-999,$1M-$10M,procurement_manager,vp,inbound_marketing,1,0,25000.0,20,0,6,6,20.0,5,3,1.0,A,1
professional_services,UK,500-999,$10M-$50M,it_director,manager,sdr_outbound,0,0,55000.0,0,22,11,7,20.0,10,2,0.0,B,1
healthcare_non_clinical,US,500-999,$1M-$10M,it_director,manager,inbound_marketing,0,0,25000.0,4,0,3,1,19.0,1,0,1.0,C,0
healthcare_non_clinical,UK,200-499,$10M-$50M,it_director,manager,inbound_marketing,1,1,55000.0,20,0,14,2,20.0,4,4,0.0,A,1
healthcare_non_clinical,US,1000-1999,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,1,0,85000.0,16,0,12,0,20.0,3,3,7.0,B,1
logistics,US,500-999,$1M-$10M,ap_manager,director,partner_referral,1,0,25000.0,0,16,6,4,18.0,4,5,4.0,C,0
professional_services,US,500-999,$10M-$50M,it_director,director,inbound_marketing,1,1,55000.0,20,0,8,5,20.0,4,3,0.0,A,1
healthcare_non_clinical,US,500-999,$10M-$50M,ap_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,12,3,3,20.0,0,4,0.0,A,1
manufacturing,US,1000-1999,$50M-$200M,vp_finance,director,sdr_outbound,1,0,85000.0,0,23,8,6,20.0,,3,0.0,C,1
healthcare_non_clinical,US,500-999,$50M-$200M,vp_finance,director,sdr_outbound,1,1,65136.0,0,23,11,5,20.0,5,4,1.0,B,0
healthcare_non_clinical,US,500-999,$10M-$50M,it_director,,partner_referral,1,0,55000.0,0,26,13,10,20.0,,3,0.0,A,0
logistics,UK,200-499,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,55000.0,18,0,11,2,20.0,4,0,0.0,A,0
manufacturing,UK,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,1,1,55000.0,0,18,7,2,20.0,6,4,5.0,A,0
healthcare_non_clinical,US,200-499,$10M-$50M,vp_finance,manager,partner_referral,0,0,55000.0,0,10,9,0,20.0,5,0,11.0,C,0
manufacturing,UK,200-499,$10M-$50M,ap_manager,director,sdr_outbound,1,0,55000.0,0,24,14,2,20.0,3,1,,C,0
manufacturing,UK,200-499,$10M-$50M,procurement_manager,manager,partner_referral,1,0,55000.0,0,24,14,6,20.0,5,2,0.0,B,1
manufacturing,UK,500-999,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,85000.0,19,0,7,6,19.0,4,6,0.0,A,1
logistics,US,200-499,$50M-$200M,vp_finance,manager,sdr_outbound,1,0,35275.0,0,15,4,6,18.0,2,6,1.0,A,0
healthcare_non_clinical,US,2000+,$1M-$10M,procurement_manager,manager,sdr_outbound,1,0,25000.0,0,15,8,4,20.0,2,2,1.0,C,1
healthcare_non_clinical,UK,500-999,$10M-$50M,it_director,vp,inbound_marketing,0,0,55000.0,15,0,5,3,20.0,1,4,0.0,B,0
professional_services,UK,500-999,$10M-$50M,ap_manager,director,partner_referral,1,0,55000.0,0,24,9,5,20.0,2,6,1.0,B,1
healthcare_non_clinical,US,2000+,$50M-$200M,it_director,manager,partner_referral,0,0,85000.0,0,28,16,2,20.0,2,0,6.0,A,0
professional_services,UK,500-999,$10M-$50M,it_director,vp,inbound_marketing,0,0,55000.0,23,0,9,10,20.0,3,0,0.0,B,1
logistics,US,200-499,$1M-$10M,it_director,director,inbound_marketing,0,0,25000.0,5,0,5,0,20.0,0,0,19.0,A,0
healthcare_non_clinical,US,200-499,$50M-$200M,ap_manager,manager,sdr_outbound,1,0,85000.0,0,25,13,6,20.0,5,6,1.0,B,1
professional_services,US,1000-1999,$50M-$200M,ap_manager,vp,inbound_marketing,1,0,96378.0,19,0,6,6,20.0,1,3,2.0,A,0
healthcare_non_clinical,US,200-499,$50M-$200M,vp_finance,manager,partner_referral,1,0,85000.0,0,18,7,3,19.0,2,1,1.0,B,1
logistics,US,500-999,$10M-$50M,vp_finance,vp,partner_referral,1,1,55000.0,0,23,9,6,20.0,5,4,0.0,A,0
manufacturing,US,1000-1999,$50M-$200M,vp_finance,director,inbound_marketing,1,0,85000.0,13,0,9,0,20.0,2,3,9.0,B,0
logistics,US,1000-1999,$1M-$10M,procurement_manager,vp,sdr_outbound,1,1,68369.0,0,20,5,8,18.0,6,2,1.0,B,0
logistics,US,500-999,$1M-$10M,procurement_manager,individual_contributor,sdr_outbound,1,0,25000.0,0,9,3,2,18.0,2,1,2.0,B,1
professional_services,UK,200-499,$200M+,procurement_manager,director,inbound_marketing,0,0,119472.0,25,0,11,8,20.0,5,0,0.0,C,0
professional_services,UK,200-499,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,0,0,55000.0,1,0,1,0,20.0,0,0,20.0,C,0
manufacturing,UK,2000+,$1M-$10M,procurement_manager,,partner_referral,1,0,25000.0,0,18,5,6,20.0,,1,0.0,B,1
professional_services,UK,2000+,$1M-$10M,vp_finance,director,inbound_marketing,1,0,25000.0,20,0,7,5,20.0,1,1,1.0,B,1
healthcare_non_clinical,UK,500-999,$50M-$200M,ap_manager,manager,sdr_outbound,0,0,85000.0,0,16,8,7,20.0,3,0,0.0,C,0
healthcare_non_clinical,US,200-499,$10M-$50M,ap_manager,director,partner_referral,1,0,55000.0,0,14,6,4,20.0,4,1,2.0,C,0
logistics,US,500-999,$200M+,procurement_manager,director,sdr_outbound,1,0,115202.0,0,13,7,5,19.0,0,3,0.0,B,0
healthcare_non_clinical,UK,200-499,$200M+,procurement_manager,vp,inbound_marketing,0,0,119461.0,11,0,5,4,19.0,3,5,2.0,A,1
healthcare_non_clinical,US,2000+,$50M-$200M,ap_manager,c_suite,sdr_outbound,0,0,85000.0,0,18,10,2,20.0,1,0,2.0,B,0
logistics,UK,1000-1999,$10M-$50M,procurement_manager,director,inbound_marketing,1,1,55000.0,14,0,9,4,19.0,4,2,0.0,A,1
healthcare_non_clinical,UK,500-999,$50M-$200M,it_director,vp,inbound_marketing,0,0,85000.0,22,0,8,7,20.0,6,5,0.0,B,1
manufacturing,UK,500-999,$50M-$200M,procurement_manager,individual_contributor,partner_referral,1,0,85000.0,0,19,9,3,18.0,4,5,4.0,C,0
healthcare_non_clinical,UK,200-499,$10M-$50M,procurement_manager,c_suite,sdr_outbound,0,0,55000.0,0,21,8,6,19.0,,3,0.0,C,0
logistics,US,200-499,$10M-$50M,it_director,vp,inbound_marketing,0,0,55000.0,10,0,10,0,20.0,3,0,14.0,C,0
manufacturing,UK,500-999,$10M-$50M,ap_manager,manager,sdr_outbound,1,0,55000.0,0,24,13,1,20.0,2,1,5.0,C,1
healthcare_non_clinical,US,500-999,$1M-$10M,vp_finance,director,sdr_outbound,0,0,25000.0,0,8,3,4,19.0,1,0,1.0,A,0
manufacturing,US,200-499,$1M-$10M,ap_manager,individual_contributor,sdr_outbound,1,0,48010.0,0,18,5,8,20.0,4,3,1.0,A,0
logistics,US,500-999,$10M-$50M,ap_manager,vp,inbound_marketing,1,0,55000.0,20,0,9,7,20.0,3,2,3.0,C,1
manufacturing,UK,500-999,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,55000.0,26,0,19,4,20.0,4,0,0.0,B,0
professional_services,UK,2000+,$10M-$50M,it_director,manager,inbound_marketing,1,0,55000.0,15,0,7,7,19.0,2,6,1.0,B,1
logistics,UK,200-499,$10M-$50M,ap_manager,manager,partner_referral,1,0,55000.0,0,29,19,5,20.0,5,2,0.0,B,1
professional_services,US,200-499,$10M-$50M,it_director,director,sdr_outbound,1,0,55000.0,0,17,10,4,20.0,2,1,0.0,B,1
healthcare_non_clinical,US,1000-1999,$200M+,procurement_manager,manager,inbound_marketing,1,1,115525.0,25,0,16,5,20.0,7,5,0.0,B,0
manufacturing,UK,500-999,$50M-$200M,ap_manager,manager,partner_referral,1,0,43923.0,0,26,16,8,20.0,2,5,2.0,B,0
manufacturing,UK,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,1,1,62399.0,0,22,11,6,19.0,7,2,1.0,C,0
healthcare_non_clinical,UK,200-499,$50M-$200M,procurement_manager,c_suite,inbound_marketing,0,0,85000.0,15,0,7,4,18.0,6,4,0.0,C,1
healthcare_non_clinical,US,500-999,$1M-$10M,it_director,director,inbound_marketing,0,0,25000.0,16,0,8,3,20.0,2,0,0.0,A,0
logistics,UK,500-999,$10M-$50M,ap_manager,manager,inbound_marketing,0,0,55000.0,2,0,2,0,19.0,0,0,19.0,A,0
healthcare_non_clinical,US,500-999,$200M+,procurement_manager,manager,inbound_marketing,0,0,115322.0,17,0,7,5,20.0,4,0,2.0,B,1
healthcare_non_clinical,US,500-999,$50M-$200M,vp_finance,individual_contributor,inbound_marketing,1,0,55418.0,24,0,9,5,20.0,6,1,0.0,C,0
healthcare_non_clinical,US,500-999,$10M-$50M,vp_finance,individual_contributor,sdr_outbound,1,0,55000.0,0,13,4,3,20.0,3,6,0.0,A,0
healthcare_non_clinical,UK,200-499,$1M-$10M,vp_finance,individual_contributor,sdr_outbound,0,0,25000.0,0,14,3,6,19.0,2,1,0.0,B,0
manufacturing,UK,200-499,$10M-$50M,procurement_manager,manager,sdr_outbound,0,0,55000.0,0,13,7,4,20.0,2,0,1.0,A,1
logistics,US,1000-1999,$1M-$10M,it_director,manager,sdr_outbound,1,0,25000.0,0,14,8,5,18.0,2,2,0.0,A,1
healthcare_non_clinical,US,2000+,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,55000.0,20,0,9,7,20.0,4,0,0.0,C,0
professional_services,UK,2000+,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,19,0,9,4,20.0,4,3,1.0,C,1
healthcare_non_clinical,UK,500-999,$50M-$200M,it_director,director,inbound_marketing,1,0,85000.0,15,0,9,3,20.0,2,3,2.0,C,0
logistics,UK,200-499,$200M+,procurement_manager,individual_contributor,partner_referral,1,1,115305.0,0,16,10,4,,6,1,0.0,B,0
professional_services,UK,1000-1999,$1M-$10M,procurement_manager,director,sdr_outbound,1,0,25000.0,0,19,9,10,19.0,4,2,2.0,A,0
healthcare_non_clinical,UK,1000-1999,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,1,1,55000.0,16,0,9,3,20.0,4,5,1.0,B,1
professional_services,UK,200-499,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,1,1,85000.0,20,0,10,5,20.0,5,3,1.0,B,0
logistics,US,500-999,$10M-$50M,procurement_manager,vp,inbound_marketing,1,0,66600.0,13,0,5,3,20.0,1,4,0.0,C,0
logistics,UK,500-999,$1M-$10M,vp_finance,c_suite,inbound_marketing,1,0,25000.0,19,0,13,4,20.0,1,2,0.0,C,0
logistics,UK,500-999,$10M-$50M,it_director,vp,inbound_marketing,1,0,47897.0,18,0,13,4,18.0,3,2,0.0,B,0
healthcare_non_clinical,UK,1000-1999,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,60520.0,0,12,2,6,20.0,4,4,0.0,A,0
logistics,US,200-499,$1M-$10M,ap_manager,manager,inbound_marketing,0,0,25000.0,18,0,9,4,19.0,2,0,0.0,A,1
healthcare_non_clinical,US,200-499,$1M-$10M,it_director,director,inbound_marketing,0,0,25000.0,17,0,2,6,17.0,6,0,0.0,A,1
professional_services,UK,500-999,$1M-$10M,procurement_manager,manager,inbound_marketing,0,0,25000.0,29,0,16,5,20.0,6,3,0.0,B,0
professional_services,UK,500-999,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,1,85000.0,26,0,16,3,20.0,3,3,3.0,C,1
logistics,UK,500-999,$10M-$50M,vp_finance,vp,partner_referral,1,1,55000.0,0,28,11,11,19.0,,3,0.0,C,0
logistics,US,500-999,$200M+,ap_manager,director,inbound_marketing,1,0,119346.0,22,0,14,5,20.0,3,4,0.0,C,0
professional_services,UK,500-999,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,46127.0,13,0,4,4,16.0,4,2,1.0,C,0
manufacturing,US,1000-1999,$10M-$50M,it_director,director,sdr_outbound,1,0,55000.0,0,8,5,2,20.0,4,2,3.0,A,1
manufacturing,US,1000-1999,$1M-$10M,vp_finance,director,sdr_outbound,1,0,25000.0,0,22,7,8,20.0,8,3,0.0,A,1
professional_services,US,200-499,$10M-$50M,procurement_manager,individual_contributor,partner_referral,1,1,55000.0,0,20,2,11,17.0,3,2,0.0,C,0
logistics,US,1000-1999,$10M-$50M,procurement_manager,c_suite,inbound_marketing,1,0,115638.0,20,0,8,5,20.0,5,2,1.0,A,0
professional_services,US,200-499,$10M-$50M,ap_manager,individual_contributor,partner_referral,1,1,55000.0,0,27,13,5,20.0,5,5,0.0,C,0
logistics,UK,200-499,$50M-$200M,vp_finance,director,inbound_marketing,0,0,85000.0,14,0,7,6,20.0,6,0,1.0,A,0
manufacturing,US,500-999,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,0,0,55000.0,1,0,1,0,19.0,0,0,19.0,C,0
professional_services,UK,200-499,$1M-$10M,vp_finance,manager,inbound_marketing,1,0,25000.0,28,0,11,7,20.0,6,0,0.0,A,0
professional_services,US,200-499,$1M-$10M,procurement_manager,director,inbound_marketing,0,0,25000.0,9,0,5,4,20.0,2,0,2.0,B,0
healthcare_non_clinical,UK,500-999,$10M-$50M,it_director,vp,inbound_marketing,0,0,55000.0,15,0,8,1,18.0,1,5,6.0,A,0
manufacturing,US,200-499,$10M-$50M,ap_manager,director,sdr_outbound,1,0,55000.0,0,15,4,7,17.0,2,1,0.0,A,1
healthcare_non_clinical,UK,1000-1999,$1M-$10M,vp_finance,director,inbound_marketing,1,1,25000.0,11,0,4,4,19.0,2,9,2.0,B,1
healthcare_non_clinical,UK,200-499,$1M-$10M,ap_manager,director,partner_referral,1,0,38037.0,0,18,8,5,19.0,,3,2.0,A,0
manufacturing,UK,500-999,$10M-$50M,ap_manager,manager,partner_referral,0,0,55000.0,0,23,8,9,20.0,2,3,1.0,C,0
professional_services,UK,500-999,$10M-$50M,vp_finance,director,sdr_outbound,0,0,55000.0,0,22,11,5,20.0,2,0,0.0,A,0
professional_services,US,500-999,$1M-$10M,vp_finance,manager,sdr_outbound,1,0,25000.0,0,16,8,4,20.0,4,1,0.0,C,1
manufacturing,US,200-499,$50M-$200M,it_director,individual_contributor,partner_referral,1,0,85000.0,0,14,12,0,20.0,4,0,11.0,A,0
logistics,UK,200-499,$1M-$10M,procurement_manager,individual_contributor,inbound_marketing,0,0,25000.0,21,0,12,2,18.0,6,7,3.0,C,1
healthcare_non_clinical,UK,2000+,$10M-$50M,ap_manager,manager,sdr_outbound,0,0,55000.0,0,30,15,8,19.0,3,1,0.0,C,1
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,partner_referral,1,0,55000.0,0,33,16,10,20.0,,0,0.0,B,1
professional_services,US,500-999,$10M-$50M,procurement_manager,vp,sdr_outbound,1,0,33342.0,0,14,7,3,20.0,2,3,3.0,C,0
professional_services,US,1000-1999,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,29,14,8,20.0,6,4,1.0,A,0
manufacturing,UK,500-999,$50M-$200M,procurement_manager,director,inbound_marketing,1,0,85000.0,22,0,11,4,20.0,8,6,1.0,A,1
professional_services,UK,500-999,$1M-$10M,procurement_manager,vp,inbound_marketing,1,0,25000.0,23,0,16,4,20.0,1,6,0.0,A,0
logistics,UK,500-999,$10M-$50M,vp_finance,individual_contributor,inbound_marketing,0,0,55000.0,12,0,5,4,18.0,2,0,2.0,A,0
healthcare_non_clinical,UK,200-499,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,7,7,0,20.0,2,0,15.0,B,0
healthcare_non_clinical,US,200-499,$1M-$10M,vp_finance,manager,partner_referral,1,0,25000.0,0,11,6,1,18.0,4,3,6.0,A,0
healthcare_non_clinical,UK,200-499,$1M-$10M,vp_finance,manager,sdr_outbound,0,0,25000.0,0,8,3,3,20.0,1,1,0.0,C,0
logistics,US,1000-1999,$1M-$10M,procurement_manager,vp,partner_referral,1,0,25000.0,0,16,12,0,18.0,2,2,11.0,A,0
healthcare_non_clinical,US,500-999,$10M-$50M,ap_manager,manager,partner_referral,1,0,62207.0,0,27,13,8,20.0,6,5,0.0,B,0
healthcare_non_clinical,US,500-999,$10M-$50M,procurement_manager,director,partner_referral,0,0,55000.0,0,23,8,8,20.0,10,1,0.0,A,0
logistics,UK,500-999,$50M-$200M,vp_finance,director,inbound_marketing,1,0,85000.0,24,0,6,10,20.0,8,3,0.0,B,1
logistics,US,1000-1999,$50M-$200M,it_director,individual_contributor,inbound_marketing,1,0,85000.0,24,0,10,5,20.0,8,2,1.0,A,1
logistics,US,500-999,$10M-$50M,it_director,director,inbound_marketing,1,1,55000.0,18,0,8,8,,2,6,0.0,A,1
logistics,US,500-999,$50M-$200M,procurement_manager,manager,sdr_outbound,1,0,85000.0,0,19,7,7,20.0,4,1,2.0,B,0
professional_services,US,200-499,$50M-$200M,vp_finance,director,inbound_marketing,1,1,85000.0,26,0,9,8,20.0,4,4,0.0,A,0
manufacturing,US,1000-1999,$10M-$50M,vp_finance,individual_contributor,inbound_marketing,1,0,53846.0,11,0,2,4,20.0,3,3,1.0,B,0
healthcare_non_clinical,UK,500-999,$50M-$200M,ap_manager,vp,partner_referral,1,0,60205.0,0,15,8,3,19.0,3,6,0.0,C,0
healthcare_non_clinical,US,200-499,$50M-$200M,vp_finance,manager,inbound_marketing,1,0,85000.0,22,0,12,3,20.0,3,5,1.0,A,1
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,manager,partner_referral,1,0,55000.0,0,20,7,0,20.0,1,4,7.0,C,0
professional_services,UK,500-999,$1M-$10M,vp_finance,director,sdr_outbound,1,0,25000.0,0,23,11,5,20.0,5,1,0.0,B,0
healthcare_non_clinical,UK,200-499,$200M+,procurement_manager,individual_contributor,partner_referral,0,0,117469.0,0,23,13,5,19.0,6,1,1.0,C,0
professional_services,UK,200-499,$1M-$10M,vp_finance,director,sdr_outbound,1,0,18000.0,0,29,12,9,20.0,7,4,1.0,B,0
professional_services,UK,1000-1999,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,0,0,,28,0,13,8,20.0,6,2,1.0,B,1
manufacturing,US,1000-1999,$10M-$50M,procurement_manager,vp,sdr_outbound,0,0,55000.0,0,6,2,3,16.0,3,4,3.0,B,0
manufacturing,UK,1000-1999,$1M-$10M,procurement_manager,director,partner_referral,1,0,64803.0,0,11,8,1,19.0,5,6,0.0,A,0
manufacturing,UK,200-499,$1M-$10M,vp_finance,director,partner_referral,0,0,25000.0,0,11,4,5,19.0,2,0,1.0,C,0
manufacturing,UK,200-499,$1M-$10M,procurement_manager,director,sdr_outbound,1,1,25000.0,0,18,9,4,20.0,5,4,1.0,C,1
professional_services,UK,200-499,$50M-$200M,ap_manager,vp,inbound_marketing,1,1,85000.0,27,0,13,7,19.0,3,1,0.0,A,0
healthcare_non_clinical,US,200-499,$10M-$50M,it_director,vp,partner_referral,0,0,55000.0,0,11,7,3,20.0,4,3,0.0,A,0
