industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted,__leakage__touches_post_snapshot_15_90
logistics,US,500-999,$50M-$200M,procurement_manager,vp,sdr_outbound,1,0,85000.0,0,16,12,4,14.0,3,4,0.0,C,0,10
healthcare_non_clinical,UK,500-999,$200M+,it_director,individual_contributor,inbound_marketing,1,0,118415.0,13,0,8,5,14.0,1,0,0.0,B,0,1
professional_services,UK,200-499,$50M-$200M,ap_manager,c_suite,sdr_outbound,1,0,85000.0,0,11,7,4,14.0,2,4,2.0,A,1,16
healthcare_non_clinical,US,2000+,$50M-$200M,ap_manager,c_suite,sdr_outbound,0,0,85000.0,0,10,3,7,14.0,3,0,1.0,B,1,22
logistics,UK,500-999,$10M-$50M,procurement_manager,director,sdr_outbound,1,0,32699.0,0,12,9,3,13.0,,3,3.0,C,0,19
professional_services,US,2000+,$50M-$200M,vp_finance,,inbound_marketing,0,0,85000.0,17,0,11,6,14.0,3,0,0.0,B,0,14
manufacturing,US,500-999,$10M-$50M,procurement_manager,,partner_referral,1,1,76675.0,0,17,7,10,12.0,2,3,0.0,A,0,21
logistics,US,1000-1999,$1M-$10M,vp_finance,individual_contributor,sdr_outbound,0,0,25000.0,0,7,3,4,13.0,,0,0.0,A,0,14
logistics,US,500-999,$1M-$10M,it_director,director,sdr_outbound,0,0,25000.0,0,21,8,13,14.0,6,1,0.0,B,0,31
logistics,US,2000+,$10M-$50M,vp_finance,c_suite,inbound_marketing,1,0,55000.0,27,0,16,11,14.0,1,1,0.0,B,1,24
healthcare_non_clinical,UK,200-499,$1M-$10M,ap_manager,vp,inbound_marketing,1,0,25000.0,23,0,14,9,14.0,2,3,0.0,A,1,24
healthcare_non_clinical,UK,500-999,$50M-$200M,it_director,individual_contributor,inbound_marketing,0,0,85000.0,16,0,8,8,14.0,1,1,2.0,B,0,20
logistics,US,2000+,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,1,0,85000.0,15,0,11,4,14.0,4,2,0.0,C,1,19
logistics,UK,1000-1999,$10M-$50M,procurement_manager,,inbound_marketing,0,0,55000.0,16,0,11,5,14.0,2,0,0.0,C,0,19
professional_services,UK,500-999,$10M-$50M,vp_finance,manager,inbound_marketing,1,0,55000.0,17,0,8,9,13.0,6,2,0.0,C,0,1
manufacturing,UK,200-499,$1M-$10M,procurement_manager,director,sdr_outbound,1,0,25000.0,0,8,4,4,14.0,,3,3.0,B,0,26
healthcare_non_clinical,UK,500-999,$10M-$50M,it_director,director,sdr_outbound,1,0,45105.0,0,14,8,6,14.0,4,2,0.0,A,0,23
manufacturing,US,200-499,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,,8,0,8,0,14.0,1,0,11.0,A,0,0
healthcare_non_clinical,UK,1000-1999,$10M-$50M,ap_manager,manager,sdr_outbound,0,0,55000.0,0,4,2,2,13.0,1,1,0.0,B,0,12
healthcare_non_clinical,US,200-499,$50M-$200M,vp_finance,manager,inbound_marketing,0,0,85000.0,5,0,5,0,14.0,1,0,12.0,B,0,0
professional_services,US,1000-1999,$1M-$10M,procurement_manager,manager,partner_referral,0,0,25000.0,0,10,4,6,14.0,3,4,0.0,C,0,19
manufacturing,US,1000-1999,$1M-$10M,vp_finance,manager,sdr_outbound,0,0,25000.0,0,15,11,4,14.0,3,0,2.0,B,0,16
manufacturing,UK,500-999,$10M-$50M,vp_finance,director,partner_referral,1,0,55000.0,0,18,10,8,12.0,3,0,2.0,C,0,14
logistics,US,500-999,$10M-$50M,it_director,individual_contributor,inbound_marketing,1,0,55000.0,8,0,6,2,14.0,1,4,1.0,C,1,11
logistics,UK,1000-1999,$50M-$200M,procurement_manager,c_suite,inbound_marketing,0,0,85000.0,15,0,7,8,14.0,2,1,0.0,A,0,19
logistics,UK,2000+,$200M+,ap_manager,individual_contributor,sdr_outbound,1,0,115172.0,0,26,10,16,14.0,1,3,0.0,A,1,22
manufacturing,UK,500-999,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,0,0,85000.0,4,0,4,0,14.0,0,0,13.0,A,0,0
professional_services,UK,1000-1999,$10M-$50M,ap_manager,manager,sdr_outbound,1,0,55000.0,0,15,9,6,13.0,,1,1.0,B,1,8
healthcare_non_clinical,US,200-499,$1M-$10M,ap_manager,vp,sdr_outbound,0,0,25000.0,0,9,5,4,14.0,2,2,4.0,C,0,23
manufacturing,UK,200-499,$50M-$200M,vp_finance,manager,partner_referral,1,1,85000.0,0,17,10,7,14.0,5,3,0.0,B,1,18
manufacturing,US,1000-1999,$10M-$50M,ap_manager,vp,inbound_marketing,1,1,105741.0,19,0,11,8,14.0,5,2,0.0,A,0,21
logistics,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,18,0,11,7,13.0,2,0,1.0,A,0,17
professional_services,UK,1000-1999,$200M+,procurement_manager,director,inbound_marketing,1,0,117123.0,19,0,12,7,14.0,3,1,0.0,C,1,23
manufacturing,US,200-499,$10M-$50M,ap_manager,individual_contributor,sdr_outbound,1,0,42394.0,0,16,11,5,14.0,3,0,1.0,A,0,23
logistics,US,500-999,$1M-$10M,procurement_manager,individual_contributor,sdr_outbound,0,0,25000.0,0,7,4,3,11.0,1,3,0.0,B,0,10
manufacturing,UK,2000+,$1M-$10M,vp_finance,manager,partner_referral,1,0,112290.0,0,9,5,4,11.0,1,4,2.0,C,0,23
professional_services,US,500-999,$10M-$50M,ap_manager,manager,partner_referral,0,0,55000.0,0,2,2,0,14.0,1,0,14.0,C,0,0
healthcare_non_clinical,US,500-999,$50M-$200M,it_director,manager,inbound_marketing,0,0,85000.0,11,0,6,5,13.0,0,2,1.0,B,0,15
logistics,UK,1000-1999,$50M-$200M,procurement_manager,vp,sdr_outbound,0,0,85000.0,0,10,2,8,,0,2,1.0,B,0,31
professional_services,UK,2000+,$50M-$200M,vp_finance,manager,sdr_outbound,1,0,85000.0,0,15,9,6,13.0,1,3,0.0,A,0,18
logistics,UK,200-499,$50M-$200M,vp_finance,individual_contributor,inbound_marketing,1,0,85000.0,14,0,6,8,14.0,1,1,0.0,B,1,14
manufacturing,UK,200-499,$10M-$50M,procurement_manager,manager,partner_referral,1,0,55000.0,0,22,11,11,14.0,,1,0.0,C,1,19
healthcare_non_clinical,US,500-999,$1M-$10M,vp_finance,vp,inbound_marketing,0,0,25000.0,7,0,4,3,14.0,2,3,2.0,A,1,18
logistics,UK,500-999,$50M-$200M,procurement_manager,vp,inbound_marketing,0,0,85000.0,9,0,7,2,13.0,1,0,2.0,B,0,4
professional_services,UK,500-999,$10M-$50M,it_director,director,inbound_marketing,1,0,,22,0,11,11,13.0,1,1,0.0,C,0,2
healthcare_non_clinical,US,200-499,$1M-$10M,ap_manager,manager,inbound_marketing,1,0,25000.0,18,0,8,10,14.0,,5,0.0,B,1,25
healthcare_non_clinical,US,200-499,$1M-$10M,vp_finance,individual_contributor,inbound_marketing,0,0,25000.0,3,0,3,0,11.0,1,0,9.0,C,0,0
logistics,UK,500-999,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,0,0,55000.0,16,0,9,7,13.0,4,1,0.0,B,0,24
logistics,US,500-999,$1M-$10M,vp_finance,manager,sdr_outbound,1,0,25000.0,0,9,5,4,14.0,,1,1.0,C,0,4
logistics,US,2000+,$1M-$10M,it_director,c_suite,partner_referral,0,0,25000.0,0,26,14,12,14.0,4,4,,B,1,26
healthcare_non_clinical,UK,2000+,$1M-$10M,vp_finance,individual_contributor,sdr_outbound,0,0,25000.0,0,12,9,3,13.0,1,1,0.0,B,0,14
professional_services,UK,500-999,$50M-$200M,it_director,c_suite,inbound_marketing,0,0,85000.0,6,0,6,0,14.0,1,0,11.0,B,0,0
logistics,UK,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,14,0,6,8,14.0,2,1,3.0,C,0,10
logistics,UK,200-499,$50M-$200M,vp_finance,manager,inbound_marketing,0,0,85000.0,15,0,9,6,14.0,4,0,1.0,A,0,8
professional_services,US,500-999,$1M-$10M,it_director,director,sdr_outbound,0,0,25000.0,0,22,10,12,13.0,2,0,0.0,A,0,26
healthcare_non_clinical,US,200-499,$1M-$10M,ap_manager,individual_contributor,partner_referral,0,0,25000.0,0,18,12,6,14.0,2,0,0.0,A,1,27
manufacturing,UK,500-999,$50M-$200M,procurement_manager,manager,inbound_marketing,0,0,85000.0,12,0,10,2,14.0,3,3,3.0,A,0,20
professional_services,US,500-999,$1M-$10M,it_director,director,sdr_outbound,0,0,25000.0,0,9,9,0,14.0,2,0,10.0,A,0,0
manufacturing,UK,500-999,$10M-$50M,it_director,c_suite,sdr_outbound,1,0,55000.0,0,19,11,8,14.0,5,3,0.0,B,1,24
logistics,US,1000-1999,$1M-$10M,ap_manager,director,inbound_marketing,1,0,116259.0,16,0,10,6,14.0,3,4,0.0,B,0,22
professional_services,US,1000-1999,$50M-$200M,procurement_manager,vp,sdr_outbound,0,0,85000.0,0,1,1,0,14.0,0,0,14.0,B,0,0
professional_services,UK,200-499,$10M-$50M,it_director,individual_contributor,inbound_marketing,1,0,31448.0,10,0,4,6,14.0,,0,0.0,B,0,15
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,1,0,55000.0,18,0,11,7,14.0,1,1,0.0,C,1,10
logistics,UK,1000-1999,$10M-$50M,it_director,manager,sdr_outbound,0,0,55000.0,0,14,8,6,14.0,2,1,0.0,A,1,23
logistics,UK,1000-1999,$50M-$200M,procurement_manager,manager,partner_referral,1,1,74179.0,0,19,9,10,13.0,6,4,0.0,B,0,22
logistics,UK,200-499,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,2,2,0,14.0,0,0,12.0,B,0,0
healthcare_non_clinical,UK,2000+,$10M-$50M,procurement_manager,director,sdr_outbound,1,0,55000.0,0,11,7,4,14.0,3,1,0.0,A,1,16
logistics,UK,200-499,$10M-$50M,it_director,individual_contributor,inbound_marketing,1,0,55000.0,20,0,13,7,14.0,4,1,0.0,A,1,11
manufacturing,UK,500-999,$10M-$50M,vp_finance,manager,partner_referral,1,0,55000.0,0,13,6,7,14.0,3,2,0.0,A,0,0
professional_services,US,200-499,$1M-$10M,it_director,individual_contributor,inbound_marketing,0,0,25000.0,2,0,2,0,14.0,0,0,13.0,C,0,0
logistics,UK,500-999,$200M+,vp_finance,director,sdr_outbound,1,0,119421.0,0,18,12,6,14.0,1,1,2.0,A,0,20
professional_services,US,500-999,$1M-$10M,ap_manager,vp,inbound_marketing,1,1,63064.0,12,0,5,7,14.0,3,1,1.0,B,0,12
manufacturing,UK,1000-1999,$10M-$50M,procurement_manager,director,inbound_marketing,1,0,55000.0,17,0,8,9,12.0,2,1,0.0,B,1,6
logistics,US,500-999,$50M-$200M,ap_manager,director,inbound_marketing,1,0,85000.0,17,0,8,9,14.0,3,8,0.0,C,0,13
logistics,UK,200-499,$50M-$200M,ap_manager,manager,sdr_outbound,0,0,85000.0,0,12,6,6,13.0,4,0,2.0,B,1,9
manufacturing,UK,200-499,$50M-$200M,vp_finance,manager,partner_referral,0,0,85000.0,0,20,8,12,13.0,4,1,0.0,B,1,27
logistics,US,2000+,$200M+,procurement_manager,,partner_referral,0,0,118528.0,0,14,5,9,13.0,1,3,0.0,B,0,21
manufacturing,UK,1000-1999,$10M-$50M,vp_finance,director,partner_referral,0,0,55000.0,0,6,4,2,14.0,4,0,0.0,C,0,32
professional_services,UK,200-499,$10M-$50M,ap_manager,,inbound_marketing,1,1,55000.0,17,0,11,6,14.0,2,2,0.0,A,0,18
manufacturing,UK,200-499,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,18,11,7,13.0,2,2,0.0,B,0,3
professional_services,UK,500-999,$50M-$200M,vp_finance,individual_contributor,inbound_marketing,1,0,85000.0,10,0,6,4,14.0,1,1,2.0,B,0,4
healthcare_non_clinical,UK,1000-1999,$10M-$50M,it_director,director,inbound_marketing,0,0,55000.0,13,0,10,3,,2,0,0.0,C,1,20
professional_services,US,200-499,$50M-$200M,ap_manager,vp,partner_referral,1,0,85000.0,0,18,10,8,14.0,5,2,1.0,B,0,6
manufacturing,US,500-999,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,55000.0,16,0,5,11,13.0,3,2,0.0,B,1,15
professional_services,UK,200-499,$1M-$10M,procurement_manager,director,inbound_marketing,1,1,25000.0,12,0,6,6,11.0,,4,0.0,A,0,15
manufacturing,US,500-999,$1M-$10M,procurement_manager,vp,inbound_marketing,1,0,25000.0,16,0,7,9,14.0,3,4,1.0,C,1,21
healthcare_non_clinical,US,200-499,$10M-$50M,vp_finance,individual_contributor,inbound_marketing,0,0,55000.0,19,0,11,8,13.0,2,2,,C,0,30
manufacturing,UK,1000-1999,$10M-$50M,it_director,director,inbound_marketing,1,0,116081.0,19,0,12,7,14.0,3,2,0.0,B,0,17
healthcare_non_clinical,US,500-999,$1M-$10M,procurement_manager,c_suite,sdr_outbound,0,0,25000.0,0,13,6,7,14.0,1,0,1.0,A,0,19
manufacturing,UK,200-499,$50M-$200M,vp_finance,manager,sdr_outbound,1,0,47270.0,0,16,10,6,14.0,,3,0.0,A,0,26
healthcare_non_clinical,US,200-499,$10M-$50M,it_director,director,inbound_marketing,0,0,55000.0,5,0,5,0,14.0,1,0,10.0,B,0,0
manufacturing,UK,200-499,$10M-$50M,it_director,manager,sdr_outbound,0,0,55000.0,0,12,7,5,13.0,2,3,1.0,C,0,16
professional_services,UK,1000-1999,$50M-$200M,procurement_manager,manager,sdr_outbound,1,1,85000.0,0,16,8,8,14.0,4,1,0.0,A,1,17
professional_services,UK,500-999,$10M-$50M,vp_finance,director,sdr_outbound,1,0,31272.0,0,9,5,4,14.0,2,2,3.0,A,0,19
manufacturing,UK,1000-1999,$1M-$10M,it_director,vp,inbound_marketing,1,0,25000.0,12,0,9,3,13.0,2,4,0.0,A,1,11
manufacturing,UK,2000+,$50M-$200M,it_director,director,sdr_outbound,1,0,85000.0,0,17,8,9,13.0,3,4,0.0,A,1,15
manufacturing,UK,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,9,7,2,13.0,,0,5.0,B,0,22
manufacturing,US,1000-1999,$10M-$50M,ap_manager,vp,inbound_marketing,0,0,55000.0,10,0,8,2,14.0,2,0,5.0,C,0,0
logistics,US,1000-1999,$1M-$10M,vp_finance,individual_contributor,sdr_outbound,1,0,25000.0,0,13,9,4,14.0,2,0,2.0,A,0,15
logistics,US,500-999,$50M-$200M,vp_finance,director,sdr_outbound,1,0,85000.0,0,19,12,7,14.0,2,2,2.0,B,1,17
healthcare_non_clinical,US,200-499,$1M-$10M,vp_finance,manager,partner_referral,0,0,25000.0,0,10,3,7,10.0,0,2,2.0,A,0,17
healthcare_non_clinical,UK,2000+,$50M-$200M,procurement_manager,individual_contributor,sdr_outbound,0,0,85000.0,0,17,10,7,14.0,1,2,2.0,B,1,18
professional_services,UK,500-999,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,55000.0,13,0,8,5,13.0,4,1,0.0,B,1,26
healthcare_non_clinical,US,200-499,$10M-$50M,ap_manager,director,inbound_marketing,0,0,55000.0,14,0,8,6,14.0,4,0,0.0,B,0,10
professional_services,UK,2000+,$10M-$50M,ap_manager,manager,inbound_marketing,1,0,55000.0,21,0,12,9,14.0,3,2,0.0,C,1,22
logistics,US,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,10,8,2,14.0,5,2,5.0,C,0,0
manufacturing,US,500-999,$10M-$50M,ap_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,7,2,5,13.0,1,0,0.0,A,0,1
healthcare_non_clinical,UK,200-499,$1M-$10M,vp_finance,director,sdr_outbound,1,0,25000.0,0,11,9,2,14.0,2,2,4.0,B,0,6
manufacturing,US,1000-1999,$10M-$50M,procurement_manager,vp,sdr_outbound,1,0,110898.0,0,17,12,5,14.0,,2,1.0,B,0,33
healthcare_non_clinical,UK,200-499,$50M-$200M,vp_finance,manager,inbound_marketing,1,1,85000.0,13,0,7,6,14.0,2,2,0.0,A,1,15
healthcare_non_clinical,UK,1000-1999,$1M-$10M,it_director,,sdr_outbound,1,0,,0,7,4,3,14.0,0,1,2.0,A,0,0
professional_services,UK,1000-1999,$1M-$10M,it_director,individual_contributor,inbound_marketing,1,0,25000.0,18,0,10,8,14.0,3,4,0.0,B,0,14
logistics,US,1000-1999,$1M-$10M,ap_manager,manager,inbound_marketing,1,0,58566.0,7,0,4,3,14.0,3,5,3.0,B,0,13
manufacturing,US,1000-1999,$1M-$10M,vp_finance,manager,sdr_outbound,1,0,25000.0,0,6,5,1,14.0,0,3,4.0,B,0,11
manufacturing,UK,2000+,$10M-$50M,ap_manager,vp,partner_referral,1,0,55000.0,0,15,7,8,14.0,4,0,0.0,B,1,14
healthcare_non_clinical,UK,500-999,$50M-$200M,vp_finance,individual_contributor,partner_referral,0,0,85000.0,0,15,11,4,14.0,4,0,,C,0,4
manufacturing,UK,1000-1999,$50M-$200M,vp_finance,manager,inbound_marketing,1,0,85000.0,23,0,13,10,14.0,1,4,0.0,A,0,1
manufacturing,UK,200-499,$10M-$50M,ap_manager,vp,sdr_outbound,1,0,55000.0,0,15,5,10,13.0,2,2,0.0,B,0,29
manufacturing,US,2000+,$10M-$50M,ap_manager,c_suite,inbound_marketing,1,0,55000.0,12,0,7,5,14.0,3,2,0.0,C,0,6
professional_services,UK,1000-1999,$1M-$10M,procurement_manager,director,inbound_marketing,0,0,25000.0,17,0,12,5,14.0,4,0,0.0,C,0,24
logistics,UK,200-499,$10M-$50M,ap_manager,vp,sdr_outbound,0,0,55000.0,0,1,1,0,13.0,0,0,13.0,B,0,0
logistics,UK,500-999,$10M-$50M,vp_finance,individual_contributor,sdr_outbound,1,0,55000.0,0,16,11,5,14.0,4,0,1.0,C,0,18
manufacturing,UK,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,10,0,3,7,14.0,3,0,0.0,C,0,24
professional_services,UK,500-999,$10M-$50M,procurement_manager,vp,inbound_marketing,1,0,62454.0,14,0,9,5,14.0,4,1,0.0,A,0,29
professional_services,UK,200-499,$10M-$50M,it_director,director,partner_referral,1,0,55000.0,0,14,11,3,14.0,4,0,1.0,B,0,22
manufacturing,UK,200-499,$10M-$50M,it_director,c_suite,inbound_marketing,0,0,55000.0,14,0,12,2,14.0,4,0,0.0,A,0,12
manufacturing,US,500-999,$1M-$10M,ap_manager,manager,inbound_marketing,0,0,25000.0,15,0,9,6,14.0,4,2,0.0,B,1,26
logistics,US,2000+,$10M-$50M,vp_finance,individual_contributor,partner_referral,1,0,55000.0,0,18,9,9,14.0,0,0,0.0,C,0,25
logistics,US,500-999,$10M-$50M,ap_manager,vp,inbound_marketing,0,0,55000.0,15,0,11,4,13.0,5,1,1.0,A,0,19
logistics,US,1000-1999,$10M-$50M,procurement_manager,manager,sdr_outbound,0,0,55000.0,0,9,7,2,13.0,1,2,5.0,A,0,21
logistics,US,200-499,$10M-$50M,ap_manager,director,partner_referral,0,0,55000.0,0,16,12,4,14.0,3,0,3.0,A,0,27
professional_services,UK,200-499,$10M-$50M,vp_finance,individual_contributor,sdr_outbound,1,0,,0,19,12,7,14.0,5,1,2.0,B,0,22
professional_services,US,200-499,$50M-$200M,ap_manager,director,sdr_outbound,1,0,43443.0,0,18,9,9,14.0,5,2,0.0,A,0,25
healthcare_non_clinical,UK,200-499,$10M-$50M,vp_finance,manager,inbound_marketing,0,0,55000.0,16,0,9,7,14.0,2,3,2.0,B,0,16
healthcare_non_clinical,US,2000+,$10M-$50M,procurement_manager,manager,sdr_outbound,1,0,117386.0,0,15,6,9,13.0,5,0,0.0,B,0,24
professional_services,UK,200-499,$1M-$10M,vp_finance,vp,inbound_marketing,1,0,25000.0,27,0,18,9,14.0,4,1,0.0,C,1,27
logistics,US,200-499,$50M-$200M,vp_finance,vp,sdr_outbound,0,0,85000.0,0,10,7,3,14.0,,0,3.0,A,0,15
manufacturing,US,200-499,$50M-$200M,vp_finance,director,sdr_outbound,0,0,85000.0,0,16,6,10,14.0,0,1,0.0,B,0,3
professional_services,US,1000-1999,$10M-$50M,ap_manager,manager,sdr_outbound,0,0,55000.0,0,9,7,2,11.0,4,0,3.0,B,1,22
manufacturing,US,500-999,$50M-$200M,ap_manager,individual_contributor,sdr_outbound,1,0,85000.0,0,11,7,4,12.0,4,3,2.0,A,0,18
professional_services,US,200-499,$200M+,procurement_manager,director,sdr_outbound,1,0,47833.0,0,19,6,13,13.0,2,1,1.0,A,0,18
professional_services,US,200-499,$10M-$50M,procurement_manager,vp,partner_referral,0,0,55000.0,0,7,7,0,13.0,0,0,7.0,B,0,0
healthcare_non_clinical,US,500-999,$1M-$10M,it_director,director,partner_referral,0,0,25000.0,0,9,7,2,14.0,2,2,2.0,A,1,15
professional_services,US,1000-1999,$1M-$10M,it_director,individual_contributor,inbound_marketing,0,0,25000.0,15,0,9,6,14.0,4,1,,C,0,8
healthcare_non_clinical,UK,1000-1999,$50M-$200M,vp_finance,individual_contributor,sdr_outbound,0,0,85000.0,0,11,6,5,12.0,4,0,0.0,C,0,8
healthcare_non_clinical,US,2000+,$10M-$50M,vp_finance,manager,inbound_marketing,0,0,55000.0,12,0,8,4,12.0,2,1,1.0,A,0,6
healthcare_non_clinical,UK,1000-1999,$10M-$50M,procurement_manager,vp,sdr_outbound,0,0,55000.0,0,10,2,8,14.0,2,0,1.0,B,1,19
manufacturing,US,200-499,$200M+,ap_manager,vp,inbound_marketing,1,0,117831.0,16,0,13,3,14.0,2,1,0.0,C,1,23
manufacturing,US,1000-1999,$10M-$50M,ap_manager,individual_contributor,partner_referral,0,0,55000.0,0,14,10,4,14.0,3,0,0.0,B,1,25
healthcare_non_clinical,UK,1000-1999,$200M+,it_director,director,sdr_outbound,0,0,115949.0,0,20,13,7,13.0,2,3,2.0,B,0,0
professional_services,UK,200-499,$200M+,it_director,manager,sdr_outbound,0,0,118385.0,0,23,14,9,14.0,4,0,1.0,B,0,30
professional_services,US,500-999,$1M-$10M,procurement_manager,individual_contributor,inbound_marketing,0,0,25000.0,4,0,4,0,12.0,1,0,11.0,B,0,0
manufacturing,US,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,1,1,55000.0,15,0,13,2,14.0,4,1,1.0,C,0,13
manufacturing,UK,500-999,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,85000.0,12,0,8,4,14.0,3,3,0.0,A,1,19
healthcare_non_clinical,UK,500-999,$1M-$10M,vp_finance,individual_contributor,sdr_outbound,1,0,25000.0,0,14,9,5,14.0,,3,0.0,A,0,6
professional_services,UK,2000+,$10M-$50M,it_director,individual_contributor,inbound_marketing,0,0,55000.0,8,0,3,5,12.0,5,1,1.0,C,0,12
professional_services,UK,2000+,$10M-$50M,procurement_manager,vp,inbound_marketing,0,0,55000.0,15,0,7,8,12.0,3,0,2.0,C,0,22
manufacturing,UK,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,4,0,1,3,12.0,2,0,0.0,C,1,11
logistics,UK,200-499,$200M+,ap_manager,individual_contributor,inbound_marketing,1,0,117955.0,11,0,8,3,13.0,2,0,1.0,C,1,9
logistics,UK,200-499,$200M+,ap_manager,c_suite,inbound_marketing,1,0,117657.0,17,0,12,5,14.0,3,3,1.0,C,0,17
healthcare_non_clinical,US,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,1,0,55000.0,16,0,10,6,12.0,1,2,0.0,B,1,32
healthcare_non_clinical,US,500-999,$1M-$10M,ap_manager,vp,inbound_marketing,0,0,25000.0,13,0,6,7,13.0,5,3,2.0,A,1,22
logistics,US,500-999,$10M-$50M,ap_manager,vp,sdr_outbound,1,0,55000.0,0,9,7,2,13.0,2,1,0.0,C,0,15
professional_services,UK,500-999,$10M-$50M,it_director,manager,sdr_outbound,1,0,55000.0,0,18,8,10,14.0,3,3,1.0,C,0,9
professional_services,UK,1000-1999,$10M-$50M,procurement_manager,vp,partner_referral,0,0,55000.0,0,13,10,3,14.0,3,1,5.0,B,0,26
healthcare_non_clinical,UK,2000+,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,1,0,85000.0,13,0,8,5,14.0,0,2,0.0,C,1,26
manufacturing,UK,500-999,$50M-$200M,procurement_manager,director,inbound_marketing,0,0,85000.0,8,0,6,2,14.0,1,7,3.0,A,0,18
manufacturing,UK,200-499,$50M-$200M,procurement_manager,director,partner_referral,1,0,85000.0,0,14,11,3,14.0,4,1,1.0,C,0,19
healthcare_non_clinical,US,1000-1999,$1M-$10M,ap_manager,vp,inbound_marketing,0,0,25000.0,12,0,11,1,14.0,3,0,6.0,B,0,6
healthcare_non_clinical,US,500-999,$50M-$200M,procurement_manager,vp,sdr_outbound,0,0,85000.0,0,16,12,4,14.0,2,0,0.0,A,0,28
logistics,US,200-499,$10M-$50M,procurement_manager,vp,inbound_marketing,1,1,55000.0,17,0,10,7,14.0,4,2,2.0,A,0,21
professional_services,US,200-499,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,15,5,10,12.0,3,0,0.0,B,0,16
professional_services,UK,200-499,$10M-$50M,ap_manager,director,sdr_outbound,1,0,55000.0,0,18,10,8,13.0,,2,0.0,B,1,16
